Datum,Mittlere_Temperatur,Temp_max,Temp_min,Regen_mm,Strahlung,Mittlere_Windgeschwindigkeit_km/h,Windboen_km/h,Richtung,Mittlerer_Luftdruck_hPa,Mittlere_Luftfeuchte,Taupunkt,Sonnenscheindauer_Min
2020-06-18,18.11,23.07,12.08,0.01,295.28,8.08,21.42,228,998.93,64.46,12.60,820
2020-06-17,17.53,22.99,14.23,11.98,151.65,7.80,21.96,103,997.43,80.91,15.47,500
2020-06-16,18.19,21.44,15.84,1.43,172.17,5.19,14.40,133,1001.79,79.01,15.30,700
2020-06-15,17.78,21.15,15.08,0.17,76.94,6.88,15.78,173,1003.21,76.66,14.89,330
2020-06-14,16.50,18.34,15.14,11.27,36.31,11.20,23.64,226,1000.89,82.48,15.09,90
2020-06-13,20.07,24.75,16.07,0.00,159.15,8.04,25.26,220,996.25,58.64,13.14,590
2020-06-12,21.12,28.65,12.42,0.00,323.92,8.86,22.80,65,991.59,55.64,12.77,800
2020-06-11,15.90,19.30,13.28,0.11,170.47,5.91,22.14,69,995.66,74.23,11.95,620
2020-06-10,15.02,16.31,13.61,0.53,71.59,6.17,15.06,161,999.19,78.43,12.93,290
2020-06-09,15.00,17.45,12.55,1.15,93.32,6.21,18.84,107,1000.10,69.71,12.22,480
2020-06-08,15.96,19.62,11.63,0.00,181.55,5.65,23.10,137,998.32,57.72,8.93,770
2020-06-07,15.51,19.89,11.97,3.20,252.99,8.13,23.52,237,994.43,63.76,11.34,740
2020-06-06,13.39,17.18,10.42,9.02,139.39,9.78,28.02,209,990.03,81.26,11.36,500
2020-06-05,12.66,15.45,10.54,11.58,84.65,10.33,32.34,219,985.82,83.84,11.59,330
2020-06-04,16.45,19.32,12.63,12.74,97.84,8.49,77.31,220,983.07,78.10,14.81,380
2020-06-03,22.01,28.64,15.82,0.00,288.27,7.40,105.12,183,990.57,41.00,11.37,720
2020-06-02,21.60,27.82,13.72,0.01,322.83,6.04,42.00,63,1000.92,38.66,7.83,810
2020-06-01,20.01,26.52,12.60,0.00,330.66,9.45,143.64,50,1004.46,39.29,7.13,800
2020-05-31,16.43,21.73,9.43,0.00,328.99,9.53,26.76,58,1005.11,39.71,3.75,790
2020-05-30,16.92,21.82,10.67,0.00,286.53,9.56,25.38,63,1006.12,37.50,3.93,740
2020-05-29,17.02,22.21,10.26,0.06,295.98,9.68,24.84,50,1009.99,36.32,3.49,800
2020-05-28,17.94,22.37,13.86,0.00,293.39,8.83,23.58,142,1013.36,45.37,9.28,760
2020-05-27,17.46,23.49,9.44,0.00,333.29,6.98,19.80,67,1017.03,44.69,6.63,800
2020-05-26,16.19,21.38,9.95,0.00,308.43,6.92,20.88,65,1018.32,52.42,8.05,780
2020-05-25,16.48,20.68,13.23,0.00,165.98,6.53,55.20,263,1017.48,55.99,9.26,640
2020-05-24,14.80,19.22,10.49,0.00,279.28,12.32,30.18,242,1015.98,57.96,8.61,700
2020-05-23,15.20,22.80,10.79,7.73,60.85,7.89,19.56,214,1010.40,75.90,14.31,320
2020-05-22,21.48,26.24,15.53,0.00,158.67,5.32,14.70,182,1005.86,52.71,13.39,650
2020-05-21,20.46,26.27,13.28,0.00,318.08,6.52,17.52,69,1006.28,52.39,11.02,780
2020-05-20,20.04,24.94,13.23,0.01,259.85,6.24,18.48,87,1005.43,48.37,10.36,760
2020-05-19,19.90,25.48,12.93,0.00,313.06,6.13,19.44,125,1005.94,43.35,8.77,780
2020-05-18,17.71,24.38,8.74,0.00,312.43,4.69,17.64,136,1008.22,44.47,8.38,780
2020-05-17,15.10,20.38,8.64,0.01,322.15,5.97,19.38,123,1007.45,47.41,4.84,780
2020-05-16,13.99,20.64,5.92,0.00,324.61,5.96,20.16,94,1006.32,45.36,3.52,750
2020-05-15,13.70,18.06,8.80,0.00,243.67,9.24,21.66,136,1002.29,46.56,3.59,750
2020-05-14,11.80,15.54,7.72,0.10,175.76,9.66,23.76,96,999.60,59.96,7.06,670
2020-05-13,10.03,13.96,5.62,0.02,141.74,7.61,18.78,65,996.47,64.84,6.77,600
2020-05-12,8.30,13.16,2.32,0.00,294.28,6.95,18.54,57,1002.39,59.68,3.47,730
2020-05-11,8.88,18.37,4.39,27.20,40.32,12.99,33.66,210,991.01,86.16,13.14,110
2020-05-10,19.54,25.89,13.65,0.34,203.43,7.19,23.10,186,991.06,55.92,13.08,660
2020-05-09,17.38,20.41,13.89,0.07,148.29,5.80,15.54,140,997.53,55.29,10.75,630
2020-05-08,18.29,25.39,10.20,0.00,280.04,5.04,14.88,121,1002.15,41.13,5.84,710
2020-05-07,15.28,22.30,6.17,0.00,310.20,6.28,17.22,54,1007.73,38.54,3.90,760
2020-05-06,12.19,17.44,5.18,0.00,316.03,8.06,25.63,66,1007.85,37.33,-0.46,760
2020-05-05,12.38,17.44,7.64,0.00,227.31,9.47,20.52,53,1003.36,54.31,7.19,690
2020-05-04,13.98,19.10,10.22,1.71,130.24,7.41,21.78,163,1002.11,69.11,13.14,460
2020-05-03,12.81,18.28,6.53,0.00,256.80,5.87,19.38,207,1003.33,52.15,5.60,690
2020-05-02,11.67,15.60,8.15,0.00,258.07,12.78,42.66,247,996.36,60.29,8.30,710
2020-05-01,11.41,13.53,9.07,6.01,114.97,11.29,30.00,220,990.88,73.50,9.21,550
2020-04-30,13.35,15.29,11.98,2.36,125.10,11.83,34.50,204,991.55,69.39,10.05,590
2020-04-29,14.26,18.82,12.36,1.09,183.46,10.75,27.90,209,994.05,67.71,10.71,500
2020-04-28,15.86,18.70,13.22,1.78,155.11,8.72,26.76,196,991.74,58.42,13.24,600
